Line # ,id_code,fileName,x_localID,x_edhID,x_hispEpID,x_tmID,province,place_name_calc,geo_coords_calc,date_range_start,date_range_start_cert,date_range_end,date_range_end_cert,language,text_markup,text_canonical
5713,1135853,2027dcfe.xml,HD000368,HD000368,20426,239290,Lusitania,Baleizão,38.02309 -7.72132,101,1,200,1,Latin,D(is) M(anibus) s(acrum)  | Modestin|ae qu(a)e  | vix(it) n(os)  | [---]ittas  | [---],dis manibvs sacrvm modestinae qvae vixit nos ittas
79,1001586,288ab3b8.xml,HD000384,HD000384,,207611,Aquitania,Sauzelles,46.66407 1.00372,171,1,230,1,Latin,(1) D(is) Manib(us) | Monim(a)e Cesti f(iliae) | et Servill(a)e uxsori sic | su(a)e et fili(a)e et alter(a)e | filli(a)e sic qu(a)e vocatur [---] (2) [---]NA | IMPR[---] | [---],dis manibvs monimae cesti filiae et servillae vxsori svae et filiae et alterae filliae qvae vocatvr na impr
3661,1102874,45fdd92c.xml,HD000387,HD000387,7733,227324,Hispania Citerior,Riós,41.97457 -7.28234,101,1,200,1,Latin,G(aius) Nigrini|us Albinu|s G(aio) Albino | Nigrinio an(norum) | XVI f(ilio) m(onumentum(?)) p(osuit) | D(is) M(anibus) s(acrum),gaivs nigrinivs albinvs gaio albino nigrinio annorvm xvi filio monvmentvm posvit dis manibvs sacrvm
5733,1136106,4870d2fa.xml,HD000398,HD000398,16807,241078,Lusitania,Mérida,38.917216 -6.341213,101,1,200,1,Latin,D(is) M(anibus) s(acrum)  | Marius  | Drosus  | an(norum) LXX h(ic) s(itus) e(st) s(it) t(ibi) t(erra) l(evis)  | Marius Tychius  | patri karissimo p(osuit),dis manibvs sacrvm marivs drosvs annorvm lxx hic sitvs est sit tibi terra levis marivs tychivs patri karissimo posvit
4938,1124063,86381993.xml,HD000441,HD000441,,212607,Lugdunensis,Lyon,45.764043 4.835659,171,1,230,1,Latin,D(is) M(anibus) | et memoriae | aeternae Aureli | Epicteti Aurelius | Aemilianus et Au|relius Iucundus | heredes per curam | patris Aureli Zosi|mi colliberti eius|dem p(onendum) c(uraverunt) et sub ascia | dedicaverunt,dis manibvs et memoriae aeternae avreli epicteti avrelivs aemilianvs et avrelivs ivcvndvs heredes per cvram patris avreli zosimi colliberti eivsdem ponendvm cvravervnt et svb ascia dedicavervnt
3913,1105256,bf5d2c70.xml,HD000484,HD000484,13904,233238,Hispania Citerior,Antes,42.99635 -8.91295,101,1,200,1,Latin,Di(s) M(anibus) s(acrum) | p(osuit(?)) Amoe|na Ma|ximo | annoru|m LIII,dis manibvs sacrvm posvit amoena maximo annorvm liii
3752,1103754,73fdea1.xml,HD000497,HD000497,6794,226725,Hispania Citerior,Favaios,41.26876 -7.50465,101,1,200,1,Latin,D(is) M(anibus) s(acrum) | F(l)accilla et | F(l)accina et | Materna | matri et | patri et | fratri | n(m) | XVIII | p(ro) p(ietate) p(osuerunt),dis manibvs sacrvm flaccilla et flaccina et materna matri et patri et fratri nm xviii pro pietate posvervnt
3610,1102490,3343a165.xml,HD000542,HD000542,624,226274,Hispania Citerior,Peal de Becerro,37.877689 -3.152365,101,1,200,1,Latin,D(is) M(anibus) s(acrum) | Augustina | pia in suis an(norum) | XX [---] sodal|es [---]ine((?)) po|suerunt | h(ic) s(ita) e(st) s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm avgvstina pia in svis annorvm xx sodales ine posvervnt hic sita est sit tibi terra levis
3841,1104605,9e7a80c7.xml,HD000545,HD000545,,234312,Hispania Citerior,El Burgo de Osma,41.58619 -3.06522,71,1,200,1,Latin,D(is) M(anibus) | T(ito) Val(erio) Goliarae | mil(iti) in Germ(ania) l|eg(ionis) XIIX sic Octav|ia Elae marito | optimo | f(aciendum) c(uravit),dis manibvs tito valerio goliarae militi in germania legionis xiix octavia elae marito optimo faciendvm cvravit
5744,1136162,5069ea33.xml,HD000548,HD000548,20454,243780,Lusitania,Villar de la Yegua,40.72554 -6.70364,101,1,200,1,Latin,D(is) M(anibus) s(acrum)  | Apana Triti an(norum)  | LX Apana Clo|uti f(ilia) an(norum) V  | Amaenea ma|tri et filiae f(aciendum) c(uravit)  | h(ic) s(itae) s(unt) s(it) t(ibi) sic t(erra) l(evis),dis manibvs sacrvm apana triti annorvm lx apana clovti filia annorvm v amaenea matri et filiae faciendvm cvravit hic sitae svnt sit tibi terra levis
5792,1136581,8e1498a9.xml,HD000551,HD000551,20455,243782,Lusitania,Yecla de Yeltes,40.95917 -6.48904,101,1,200,1,Latin,D(is) M(anibus) s(acrum)  | Antonius  | Alionus an(norum)  | LXXV  | h(ic) s(itus) s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm antonivs alionvs annorvm lxxv hic sitvs sit tibi terra levis
5789,1136567,8c578ce8.xml,HD000554,HD000554,20456,243783,Lusitania,Yecla de Yeltes,40.95917 -6.48904,101,1,200,1,Latin,D(is) M(anibus) s(acrum)  | Matern(a)e  | Materni  | an(norum) LII  | h(ic) s(ita) s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm maternae materni annorvm lii hic sita sit tibi terra levis
5841,1137002,cec3993b.xml,HD000557,HD000557,20457,243784,Lusitania,Yecla de Yeltes,40.95917 -6.48904,101,1,200,1,Latin,D(is) M(anibus) s(acrum)  | Firmo|nis Fl|acci f(ilii)  | s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm firmonis flacci filii sit tibi terra levis
5814,1136760,a8e188bd.xml,HD000560,HD000560,20458,243785,Lusitania,Yecla de Yeltes,40.95917 -6.48904,101,1,200,1,Latin,D(is) M(anibus) s(acrum)  | Mag|anae  | an(norum) LXXX  | h(ic) s(ita) s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm maganae annorvm lxxx hic sita sit tibi terra levis
4964,1124311,e66c086a.xml,HD000570,HD000570,,212638,Lugdunensis,Lyon,45.764043 4.835659,197,1,275,1,Latin,D(is) M(anibus) et m(emoriae) | aetern(ae) Vindicin(i) [---] | col(onia) Cl(audia) Agrippin(ensium) veteran(i) missi | honesta mission(e) ex aquilifer(o) leg(ionis) I Min(erviae) p(iae) f(idelis) | Vindicin(ius) Paternus h(eres) p(onendum) c(uravit),dis manibvs et memoriae aeternae vindicini colonia clavdia agrippinensivm veterani missi honesta missione ex aqvilifero legionis i minerviae piae fidelis vindicinivs paternvs heres ponendvm cvravit
5828,1136915,c09e0561.xml,HD000572,HD000572,20459,243786,Lusitania,Yecla de Yeltes,40.95917 -6.48904,101,1,200,1,Latin,(1) D(is) M(anibus) s(acrum)  | Valeri|(a)e Arqui  | an(n)or(um)  | LX  | h(ic) s(ita) t(ibi) t(erra) l(evis)  (2) D(is) M(anibus) s(acrum)  | Aemili|[---]  | annor(um)  | XV  | h(ic) s(it--) t(ibi) t(erra) l(evis),dis manibvs sacrvm valeriae arqvi annorvm lx hic sita tibi terra levis dis manibvs sacrvm aemili annorvm xv hic sit tibi terra levis
5707,1135810,1a4fea30.xml,HD000618,HD000618,20405,239273,Lusitania,Matacães,39.09255 -9.21123,151,1,200,1,Latin,D(is) M(anibus) Q(uinto) Iuli|o Q(uinti) f(ilio) Gal(eria) Fr|ontoni an(norum)  | XVII Iulia  | Quintilla mat(er) f(aciendum) c(uravit),dis manibvs qvinto ivlio qvinti filio galeria frontoni annorvm xvii ivlia qvintilla mater faciendvm cvravit
5803,1136667,9bc6779a.xml,HD000690,HD000690,20409,239277,Lusitania,Ribeira de Baixo,40.8232 -8.44429,101,1,150,1,Latin,D(is) M(anibus) s(acrum)  | Aufidiae  | Rusticae  | an(norum) XVII filiae  | Q(uintus) Ligurius  | Rusticus p(onendum) c(uravit),dis manibvs sacrvm avfidiae rvsticae annorvm xvii filiae qvintvs ligvrivs rvsticvs ponendvm cvravit
5801,1136645,97c05d7d.xml,HD000705,HD000705,20421,241706,Lusitania,Mérida,38.917216 -6.341213,101,1,150,1,Latin,D(is) M(anibus) s(acrum)  | Euhodia Mellini  | verna an(norum) XV  | h(ic) s(ita) e(st) s(it) t(ibi) t(erra) l(evis)  | Euhodus et Ca|llityche f(iliae)  | pientis(s)umae sic,dis manibvs sacrvm evhodia mellini verna annorvm xv hic sita est sit tibi terra levis evhodvs et callityche filiae pientissvmae
5797,1136619,9480021b.xml,HD000708,HD000708,20420,239285,Lusitania,Mérida,38.917216 -6.341213,101,1,150,1,Latin,D(is) M(anibus) s(acrum)  | Alecxande|r sic filius  | pius patri  | suo annor|um XXX  | h(ic) s(itus) h(est) sic s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm alecxander filivs pivs patri svo annorvm xxx hic sitvs hest sit tibi terra levis
5874,1137252,f19b4863.xml,HD000717,HD000717,20416,239283,Lusitania,Mérida,38.917216 -6.341213,101,1,200,1,Latin,D(is) M(anibus) s(acrum)  | Antistiae L(uci) f(iliae)  | Verecundae an(norum)  | XVIII  | Antistius Eucar|pio pater filiae  | piissumae sic f(aciendum) c(uravit),dis manibvs sacrvm antistiae lvci filiae verecvndae annorvm xviii antistivs evcarpio pater filiae piissvmae faciendvm cvravit
834,1032114,5c6d0d06.xml,HD000786,HD000786,3150,222940,Baetica,Cortijos de Repla,37.129593 -5.029847,101,1,200,1,Latin,D(is) M(anibus) s(acrum) | Thisbe ser(va) | n(orum) LXV | h(ic) s(ita) e(st) s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm thisbe serva norvm lxv hic sita est sit tibi terra levis
3886,1104998,b299c093.xml,HD000790,HD000790,13896,233231,Hispania Citerior,Vilacoba,43.16667 -8.3,101,1,200,1,Latin,Di(s) M(anibus) s(acrum) | pos(u)i(t) Co(rnelius) | Fronto | an(norum) XXX|XIIII,dis manibvs sacrvm posvit cornelivs fronto annorvm xxxxiiii
741,1031599,323bbfdd.xml,HD000804,HD000804,4649,224418,Baetica,Peñaflor,37.70729 -5.346426,171,1,200,1,Latin,D(is) M(anibus) s(acrum) | Q(uintus) Fulvius | Musicus | n(um) XXXXV | hic situs est | s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm qvintvs fvlvivs mvsicvs nvm xxxxv hic sitvs est sit tibi terra levis
737,1031584,3119f606.xml,HD000813,HD000813,4716,224479,Baetica,Alcalá del Río,37.518215 -5.978254,171,1,200,1,Latin,D(is) M(anibus) s(acrum) | L(ucius) Terentius Fir|mus n(orum) LXI | pius in suis | h(ic) s(itus) e(st) s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm lvcivs terentivs firmvs norvm lxi pivs in svis hic sitvs est sit tibi terra levis
806,1031939,4e43fca.xml,HD000822,HD000822,4946,224650,Baetica,Utrera,37.18516 -5.78093,131,1,170,1,Latin,Dis Manibus | Postumia Silana hic | sita est an(norum) XXX pia paren|tibus amatrix municipi | Postumia Sura mater dedit,dis manibvs postvmia silana hic sita est annorvm xxx pia parentibvs amatrix mvnicipi postvmia svra mater dedit
952,1032899,98a04759.xml,HD000825,HD000825,5196,224865,Baetica,Aroche,37.963738 -7.13148,101,1,200,1,Latin,D(is) M(anibus) | M(arcus) Serto|rius Ma|ternus | an(norum) XXVII,dis manibvs marcvs sertorivs maternvs annorvm xxvii
961,1032980,9f4dc155.xml,HD000831,HD000831,4593,224364,Baetica,Sevilla,37.382668 -5.996293,251,1,300,1,Latin,D(is) M(anibus) s(acrum) | Pinnia Helpis | pia in suis | [---],dis manibvs sacrvm pinnia helpis pia in svis
773,1031791,428fdb40.xml,HD000840,HD000840,4706,224472,Baetica,Tocina,37.609852 -5.733109,201,1,230,1,Latin,D(is) M(anibus) s(acrum) | M(arcus) Iunius | Vernaclus | n(orum) XXII | hic situs est | s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm marcvs ivnivs vernaclvs norvm xxii hic sitvs est sit tibi terra levis
739,1031595,31bdb975.xml,HD000843,HD000843,4684,224450,Baetica,Alcolea del Río,37.61506 -5.66694,131,1,170,1,Latin,D(is) M(anibus) s(acrum) | Aelius Epaenetus | n(um) LXX | optumus pater | optumus amicus | optumus rector | p(ius) i(n) s(uis) h(ic) s(itus) e(st) s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm aelivs epaenetvs nvm lxx optvmvs pater optvmvs amicvs optvmvs rector pivs in svis hic sitvs est sit tibi terra levis
1037,1033491,c8675848.xml,HD000900,HD000900,4591,224362,Baetica,Sevilla,37.382668 -5.996293,101,1,200,1,Latin,D(is) M(anibus) s(acrum) | L(- - -) Theophile | vix(it) an(nos) | LXVIII | Aetolis | patronae opti|mae fecit | h(ic) s(ita) e(st) s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm l theophile vixit annos lxviii aetolis patronae optimae fecit hic sita est sit tibi terra levis
872,1032354,6eb784fb.xml,HD000963,HD000963,1045,221003,Baetica,Bolonia,36.088730 -5.774741,101,1,300,1,Latin,D(is) M(anibus) s(acrum) | C(aius) Vale[---] | Valen[---] | [---]LES((?)) IXCI((?))[---] | [---],dis manibvs sacrvm caivs vale valen les ixci
698,1031355,1e19b201.xml,HD000969,HD000969,1067,221022,Baetica,Jerez de la Frontera,36.68645 -6.13606,101,1,200,1,Latin,D(is) M(anibus) s(acrum) | M(arcus) Aemilius Adaes | vix(it) n(os) XLI | h(ic) s(itus) e(st) s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm marcvs aemilivs adaes vixit nos xli hic sitvs est sit tibi terra levis
751,1031681,396cfed8.xml,HD000987,HD000987,3101,222892,Baetica,Valle de Abdalajís,36.931327 -4.682723,151,1,230,1,Latin,(1) D(is) M(anibus) s(acrum) (2) M(arcus) Cor|nelius | Agricola | an(norum) XXV | p(ius) i(n) s(uis),dis manibvs sacrvm marcvs cornelivs agricola annorvm xxv pivs in svis
2520,1059325,2315452a.xml,HD001003,HD001003,,167122,Britannia,London,51.500152 -0.126236,201,1,300,1,Latin,(1) D(is) M(anibus)  (2) et memoriae  | perpetuitati  | Aureli(iae) Marcianae  | quae vixit n(os) X  | m(enses) [---] d(ies) [---] Aurel(ius)  | [---]dec(urio) c(oloniae)  | [---]RTI  | [---]eius f(aciundum) c(uravit),dis manibvs et memoriae perpetvitati avreliiae marcianae qvae vixit nos x menses dies avrelivs decvrio coloniae rti eivs facivndvm cvravit
3784,1103999,819cd96f.xml,HD001032,HD001032,6736,226674,Hispania Citerior,Valera de Arriba,39.81667 -2.15,151,1,200,1,Latin,D(is) M(anibus) s(acrum) | Mar(- - -) Va|leriano | n(orum) | VIIII s(emis) | Mar(- - -) Ia|nuarius | alumno | dulcissimo | s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm mar valeriano norvm viiii semis mar ianvarivs alvmno dvlcissimo sit tibi terra levis
3595,1102349,2bdd7e8e.xml,HD001050,HD001050,6742,226680,Hispania Citerior,Villaverde y Pasaconsol,39.77099 -2.26552,101,1,200,1,Latin,D(is) M(anibus) s(acrum) | [---]Pergamis | [---]metio filio | h(ic) s(itus) e(st) s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm pergamis metio filio hic sitvs est sit tibi terra levis
3766,1103867,7a379c5f.xml,HD001056,HD001056,6745,226683,Hispania Citerior,Reillo,39.9 -1.86667,101,1,200,1,Latin,D(is) M(anibus) s(acrum) | Stertoni | an(n)o(rum) VII | sui f(aciendum) cur(averunt) | sit t(ibi) t(erra) l(evis),dis manibvs sacrvm stertoni annorvm vii svi faciendvm cvravervnt sit tibi terra levis
3638,1102717,3f2a9eaa.xml,HD001101,HD001101,13909,233242,Hispania Citerior,Vilamaior,43.050033 -8.729359,101,1,150,1,Latin,D(is) M(anibus) s(acrum) | M(- - -) Firm|ill(a)e an(n)o(rum) | LX P(ublius) M(- - -) | Creticu|s,dis manibvs sacrvm m firmillae annorvm lx pvblivs m creticvs
6721,1144259,293580ed.xml,EDCS-08600489,HD001138,,213183,Narbonensis,Nîmes,43.834590 4.360864,71,1,130,1,Latin,Diis Manibus  | L(uci) Allidii Postumiani  | Satrieni Fabati  | L(ucius) Allidius Satrien(us)  | Nymphodotus  | libertus,diis manibvs lvci allidii postvmiani satrieni fabati lvcivs allidivs satrienvs nymphodotvs libertvs
6988,1145382,4eb7218b.xml,EDCS-09200341,HD001141,,213184,Narbonensis,Nîmes,43.834590 4.360864,151,1,200,1,Latin,D(is) M(anibus)  | IIIIIIvir(i) Aug(ustalis)  | L(uci) Aemilii Asyncriti  | L(ucius) Aemil(ius) Honoratus  | et L(ucius) Aemil(ius) Cornelian(us)  | patri optim(o),dis manibvs iiiiiiviri avgvstalis lvci aemilii asyncriti lvcivs aemilivs honoratvs et lvcivs aemilivs cornelianvs patri optimo
6855,1144878,3d7f6fbd.xml,HD001144,HD001144,,213185,Narbonensis,Nîmes,43.834590 4.360864,131,1,200,1,Latin,D(is) M(anibus)  | Corneliae Philaenidis  | et Aemiliae Cornelian(ae)  | IIIIII(vir) Aug(ustalis)  | L(ucius) Aemilius Asyncritus  | uxori karissimae  | et filiae piissimae  | L(ucius) Aemilius Honoratus  | et L(ucius) Aemil(ius) Cornelianus  | matri optim(ae) sorori karissim(ae),dis manibvs corneliae philaenidis et aemiliae cornelianae iiiiiivir avgvstalis lvcivs aemilivs asyncritvs vxori karissimae et filiae piissimae lvcivs aemilivs honoratvs et lvcivs aemilivs cornelianvs matri optimae sorori karissimae
7225,1146443,73b3ae1f.xml,HD001147,HD001147,,213186,Narbonensis,Nîmes,43.834590 4.360864,71,1,130,1,Latin,D(is) M(anibus)  | Antoni Secundi  | Vassedonis q(uaestoris) col(oniae)  | Aemilia Nigellionis f(ilia)  | Nigrina uxor sibi  | et viro viva fecit,dis manibvs antoni secvndi vassedonis qvaestoris coloniae aemilia nigellionis filia nigrina vxor sibi et viro viva fecit
7039,1145598,5658da03.xml,EDCS-08600492,HD001150,,213187,Narbonensis,Nîmes,43.834590 4.360864,71,1,200,1,Latin,D(is) M(anibus)  | [---] v(ixit) a(nnos) [---]  | [---] Victrix 3o Serotino  | [---]optimo,dis manibvs vixit annos victrix o serotino optimo
6669,1144038,20b4f94.xml,EDCS-09200342,HD001156,,213189,Narbonensis,Nîmes,43.834590 4.360864,71,1,200,1,Latin,(1) D(is) M(anibus) (2) M(arci) Aetroni  | Onesimi,dis manibvs marci aetroni onesimi
6821,1144733,37c1ec8.xml,EDCS-09200343,HD001159,,213190,Narbonensis,Nîmes,43.834590 4.360864,71,1,130,1,Latin,Dis Manib(us)  | Allidiae  | Persi[---]  | et Allidiae[---]  | Allidia P[---],dis manibvs allidiae persi et allidiae allidia p
2908,1080521,22a5f6a4.xml,HD001287,HD001287,,208734,Germania Inferior,Köln,50.937531 6.960279,151,1,170,1,Latin,(1) D(is) M(anibus)(?) (2) Lucio Calvisio et | Agilliae Amucae | Calvisius Monnus | |(centurio) leg(ionis) XXII Pr(imigeniae) p(iae) f(idelis) pa|rentibus sanctis | de suo fecit,dis manibvs lvcio calvisio et agilliae amvcae calvisivs monnvs centvrio legionis xxii primigeniae piae fidelis parentibvs sanctis de svo fecit
4935,1124007,6d3ce3d0.xml,HD001321,HD001321,,212649,Lugdunensis,Lyon,45.764043 4.835659,201,1,250,1,Latin,(1) D(is) M(anibus) (2) et memoriae | aeternae Vic|torio Regulo | civi Nemeti et | neg(otiatori) Duro(cortoro) purpu|rario Vicrius | Tetricus vet(eranus) leg(ionis) XXII | Pr(imigeniae) p(iae) f(idelis) fratri cariss(imo) | p(onendum) c(uravit) s(ub ascia) ded(icavit),dis manibvs et memoriae aeternae victorio regvlo civi nemeti et negotiatori dvrocortoro pvrpvrario vicrivs tetricvs veteranvs legionis xxii primigeniae piae fidelis fratri carissimo ponendvm cvravit svb ascia dedicavit
2658,1060980,8072720d.xml,HD001416,HD001416,,157164,Britannia,Gloucester,51.866742 -2.248670,201,1,300,1,Latin,(1) D(is) M(anibus)  (2) L(ucius) Val(erius) Aurelius  | vet(eranus) leg(ionis) XX  (3) V(- - -) V[---]  (4) Iul(ius) [---]  | [---],dis manibvs lvcivs valerivs avrelivs veteranvs legionis xx v v ivlivs
